Term	Index	Ancestors
GO:0098853	927	0 1 322
GO:0036064	928	0 1 328
GO:0000923	929	0 1 328
GO:0031021	930	0 1 328
GO:0005816	931	0 1 328
GO:0005813	932	0 1 328
GO:0031633	933	0 1 329
GO:0061850	934	0 1 332
GO:0061851	935	0 1 332
GO:0009568	936	0 1 336
GO:0009569	937	0 1 336
GO:0032809	938	0 1 344
GO:0044294	939	0 1 169 346 813
GO:0044293	940	0 1 346
GO:0044296	941	0 1 346
GO:0098788	942	0 1 346
GO:0009577	943	0 1 353
GO:0009575	944	0 1 353
GO:0034060	945	0 1 353
GO:0009578	946	0 1 353
GO:0009570	947	0 1 353
GO:0009576	948	0 1 353
GO:1905506	949	0 1 353
GO:0009571	950	0 1 353
GO:0070263	951	0 1 355
GO:1990033	952	0 1 356
GO:0045172	953	0 1 362
GO:0098549	954	0 1 362
GO:0035448	955	0 1 388
GO:0031244	956	0 1 388
GO:0031312	957	0 1 388
GO:0019897	958	0 1 388
GO:0140222	959	0 1 392
GO:0043233	960	0 1 392
GO:0001725	961	0 1 234 393 859
GO:0005818	962	0 1 7 396 725 726 1703
GO:0035770	963	0 1 7 396 725 726 1703
GO:0097741	964	0 1 396
GO:0099081	965	0 1 396
GO:0098644	966	0 1 396
GO:0000776	967	0 1 7 396 725 726 1703
GO:0097740	968	0 1 396
GO:1905760	969	0 1 400
GO:0035371	970	0 1 400
GO:1905721	971	0 1 400
GO:0036449	972	0 1 400
GO:0000935	973	0 1 416
GO:0000933	974	0 1 416
GO:0000934	975	0 1 416
GO:0061638	976	0 1 418
GO:0000792	977	0 1 418
GO:0000791	978	0 1 418
GO:0030998	979	0 1 420
GO:0000795	980	0 1 420
GO:0031255	981	0 1 426
GO:0120249	982	0 1 426
GO:0043025	983	0 1 427
GO:1990017	984	0 1 427
GO:0035861	985	0 1 428
GO:0031612	986	0 2 431
GO:0031610	987	0 2 431 534
GO:0072380	988	0 2 434
GO:0071818	989	0 2 434
GO:1990350	990	0 2 444
GO:0061852	991	0 2 444
GO:1902556	992	0 2 444
GO:1902495	993	0 2 444 548
GO:0031317	994	0 2 444
GO:0062051	995	0 2 444
GO:0042719	996	0 2 444 620
GO:1990531	997	0 2 444
GO:1990429	998	0 2 444
GO:0000809	999	0 2 447
GO:0005664	1000	0 2 447 534
GO:0098637	1001	0 2 448
GO:0098635	1002	0 2 448
GO:0008305	1003	0 2 448 491 548 1050 1410
GO:0005870	1004	0 2 456
GO:1990587	1005	0 2 457
GO:1990588	1006	0 2 457
GO:0071761	1007	0 2 460
