Leaf	Index	Depth
GO:0140730	1620	3
GO:0140779	1621	3
GO:0150137	1622	3
GO:0150155	1623	3
GO:1990775	1624	3
GO:0002349	1625	3
GO:0002351	1626	3
GO:0002391	1627	3
GO:0002393	1628	3
GO:0002536	1629	3
GO:0002537	1630	3
GO:0061007	1640	3
GO:0003055	1641	3
GO:0007552	1644	3
GO:0010259	1646	3
GO:0016318	1653	3
GO:0080006	1663	3
GO:0044241	1664	3
GO:0044245	1665	3
GO:0044256	1666	3
GO:0001966	1667	3
GO:0002210	1670	3
GO:0007625	1673	3
GO:0032537	1681	3
GO:0035187	1682	3
GO:0040040	1684	3
GO:0042630	1685	3
GO:0051867	1688	3
GO:0060273	1689	3
GO:0009640	1693	3
GO:0009647	1694	3
GO:0010049	1695	3
GO:0010050	1696	3
GO:0010311	1697	3
GO:0010374	1698	3
GO:0048316	1699	3
GO:0090351	1700	3
GO:0048623	1703	3
GO:0048838	1705	3
GO:0097150	1709	3
GO:0018989	1711	3
GO:0018990	1712	3
GO:0040004	1714	3
GO:0040005	1715	3
GO:0042395	1716	3
GO:0050802	1718	3
GO:0030589	1719	3
GO:0030590	1720	3
GO:0032902	1721	3
GO:0030157	1722	3
GO:0033326	1723	3
GO:0046541	1724	3
GO:0060156	1725	3
GO:0070075	1726	3
GO:0070254	1727	3
GO:0048265	1729	3
GO:0051866	1730	3
GO:0034383	1731	3
GO:0034384	1732	3
GO:0034447	1733	3
GO:0150024	1735	3
GO:0060419	1736	3
GO:0060437	1737	3
GO:0018996	1740	3
GO:0042633	1741	3
GO:0002412	1743	3
GO:0150093	1745	3
GO:0002247	1750	3
GO:0003294	1751	3
GO:0034102	1752	3
GO:0046849	1753	3
GO:0060056	1754	3
GO:0061843	1755	3
GO:0060586	1759	3
GO:0097009	1760	3
GO:0007596	1761	3
GO:0042381	1762	3
GO:0010031	1763	3
GO:0007562	1765	3
GO:0007509	1770	3
GO:0150094	1773	3
GO:0001946	1775	3
GO:0002089	1776	3
GO:0003142	1777	3
GO:0003149	1778	3
GO:0003151	1779	3
GO:0003160	1780	3
GO:0003297	1783	3
GO:0007440	1785	3
GO:0007442	1786	3
GO:0021551	1791	3
GO:0021575	1792	3
GO:0021579	1793	3
GO:0021583	1794	3
GO:0021587	1795	3
GO:0021683	1798	3
GO:0021687	1799	3
GO:0021692	1800	3
GO:0021696	1801	3
GO:0021704	1802	3
GO:0021714	1803	3
GO:0021719	1804	3
GO:0031069	1805	3
GO:0031288	1806	3
GO:0035277	1809	3
GO:0035762	1810	3
GO:0035910	1811	3
GO:0035911	1812	3
GO:0035922	1813	3
GO:0036303	1815	3
GO:0036304	1816	3
GO:0036342	1817	3
GO:0036360	1818	3
GO:0048750	1821	3
GO:0048798	1822	3
GO:0048852	1823	3
GO:0048853	1824	3
GO:0048855	1825	3
GO:0060042	1826	3
GO:0060323	1827	3
GO:0060325	1828	3
GO:0060463	1830	3
GO:0060658	1831	3
GO:0061072	1833	3
GO:0061073	1834	3
GO:0061197	1835	3
GO:0061301	1837	3
GO:0061438	1839	3
GO:0071729	1842	3
GO:0110040	1850	3
GO:0140509	1851	3
GO:1904693	1852	3
GO:1905222	1853	3
GO:1905223	1854	3
GO:1905748	1856	3
GO:1990522	1857	3
GO:0060866	1858	3
GO:0060867	1859	3
GO:0097548	1860	3
GO:0090506	1862	3
GO:0010152	1863	3
GO:0016188	1864	3
GO:0048757	1865	3
GO:0060074	1866	3
GO:0042750	1869	3
GO:0042751	1870	3
GO:0085014	1875	3
GO:0085015	1876	3
GO:0085016	1877	3
GO:0097436	1878	3
GO:0022000	1883	3
GO:0060235	1885	3
GO:0003409	1889	3
GO:0009933	1890	3
GO:0010358	1891	3
GO:0021552	1892	3
GO:0021577	1893	3
GO:0021581	1894	3
GO:0021585	1895	3
GO:0021589	1896	3
GO:0021597	1898	3
GO:0021685	1900	3
GO:0021689	1901	3
GO:0021693	1902	3
GO:0021698	1903	3
GO:0021716	1904	3
GO:0021721	1905	3
GO:0035763	1906	3
GO:0060185	1909	3
GO:1904961	1912	3
GO:0001756	1915	3
GO:0001825	1916	3
GO:0001842	1917	3
GO:0002467	1918	3
GO:0003272	1921	3
GO:0003315	1922	3
GO:0003403	1923	3
GO:0003408	1924	3
GO:0007370	1926	3
GO:0007376	1927	3
GO:0007378	1928	3
GO:0009877	1929	3
GO:0010376	1930	3
GO:0010618	1931	3
GO:0010842	1932	3
GO:0014023	1934	3
GO:0014025	1935	3
GO:0014028	1936	3
GO:0014029	1937	3
GO:0021501	1938	3
GO:0021502	1939	3
GO:0021504	1940	3
GO:0021508	1941	3
GO:0021509	1942	3
GO:0021556	1943	3
GO:0021576	1944	3
GO:0021580	1945	3
GO:0021584	1946	3
GO:0021588	1947	3
GO:0021684	1950	3
GO:0021688	1951	3
GO:0021694	1952	3
GO:0021697	1953	3
GO:0021705	1954	3
GO:0021715	1955	3
GO:0021720	1956	3
GO:0021819	1957	3
GO:0021990	1958	3
GO:0021996	1959	3
GO:0030220	1960	3
GO:0032475	1961	3
GO:0034298	1962	3
GO:0034299	1963	3
GO:0035202	1965	3
GO:0035474	1966	3
GO:0035764	1967	3
GO:0035802	1968	3
GO:0035992	1969	3
GO:0048847	1971	3
GO:0048849	1972	3
GO:0048851	1973	3
GO:0060174	1976	3
GO:0060214	1977	3
GO:0060464	1979	3
GO:0060615	1981	3
GO:0060659	1982	3
GO:0060661	1983	3
GO:0060714	1984	3
GO:0060900	1986	3
GO:0061195	1987	3
GO:0061198	1988	3
GO:0071730	1990	3
GO:0090009	1997	3
GO:0090014	1998	3
GO:0090017	1999	3
GO:0090018	2000	3
GO:0097186	2001	3
GO:0097187	2002	3
GO:0120077	2003	3
GO:1905139	2004	3
GO:1905327	2005	3
GO:0001748	2008	3
GO:0001824	2009	3
GO:0001942	2010	3
GO:0001945	2011	3
GO:0002088	2012	3
GO:0003157	2013	3
GO:0003360	2017	3
GO:0003407	2018	3
GO:0003410	2019	3
GO:0007418	2020	3
GO:0007458	2021	3
GO:0007477	2022	3
GO:0007496	2024	3
GO:0007497	2025	3
GO:0010098	2027	3
GO:0010865	2028	3
GO:0016319	2029	3
GO:0021516	2031	3
GO:0021517	2032	3
GO:0021536	2033	3
GO:0021537	2034	3
GO:0021538	2035	3
GO:0021539	2036	3
GO:0021541	2037	3
GO:0021542	2038	3
GO:0021543	2039	3
GO:0021544	2040	3
GO:0021548	2042	3
GO:0021549	2043	3
GO:0021550	2044	3
GO:0021592	2045	3
GO:0021670	2046	3
GO:0021678	2048	3
GO:0021679	2049	3
GO:0021680	2050	3
GO:0021681	2051	3
GO:0021695	2052	3
GO:0021723	2053	3
GO:0021727	2054	3
GO:0021729	2055	3
GO:0021756	2056	3
GO:0021764	2057	3
GO:0021765	2058	3
GO:0021766	2059	3
GO:0021767	2060	3
GO:0021769	2061	3
GO:0021770	2062	3
GO:0021772	2063	3
GO:0021794	2064	3
GO:0021854	2065	3
GO:0021905	2066	3
GO:0021984	2067	3
GO:0021986	2068	3
GO:0021987	2069	3
GO:0021988	2070	3
GO:0021989	2071	3
GO:0022037	2072	3
GO:0022038	2073	3
GO:0030900	2074	3
GO:0030901	2075	3
GO:0030902	2076	3
GO:0030917	2077	3
GO:0031018	2078	3
GO:0033504	2082	3
GO:0035801	2084	3
GO:0035844	2085	3
GO:0035878	2086	3
GO:0035905	2087	3
GO:0035906	2088	3
GO:0035993	2089	3
GO:0036302	2090	3
GO:0036306	2091	3
GO:0039009	2092	3
GO:0039012	2093	3
GO:0039018	2094	3
GO:0044691	2096	3
GO:0048036	2097	3
GO:0048058	2098	3
GO:0048098	2099	3
GO:0048286	2100	3
GO:0048382	2101	3
GO:0048722	2103	3
GO:0048723	2104	3
GO:0048724	2105	3
GO:0048726	2106	3
GO:0048727	2107	3
GO:0048829	2110	3
GO:0048840	2112	3
GO:0060022	2116	3
GO:0060023	2117	3
GO:0060041	2118	3
GO:0060166	2119	3
GO:0060324	2121	3
GO:0060430	2122	3
GO:0060462	2123	3
GO:0060465	2124	3
GO:0060618	2125	3
GO:0060711	2126	3
GO:0060749	2127	3
GO:0060996	2128	3
GO:0061027	2129	3
GO:0061029	2130	3
GO:0061032	2131	3
GO:0061034	2132	3
GO:0061054	2133	3
GO:0061055	2134	3
GO:0061079	2136	3
