Term	Index	Ancestors
GO:0002433	451	0 2 4 19 30 86 410 817 819 2471 2483 2486 3797 6644
GO:0002434	452	0 2 30
GO:0002443	453	0 2 30
GO:0002522	454	0 2 4 30 45 111 1098
GO:0002679	455	0 2 3 30 61
GO:0006956	456	0 2 16 19 30 31 38 410 492 2471 2481 2483 6635 6644 6743 11880
GO:0008228	457	0 2 30
GO:0009864	458	0 2 4 19 30 31 86 410 462 824 2471 2481 2483 2486 3883 6635 6644 6743 6804 6805 6808 11880 11926 12435 12438 12439 13123 17720
GO:0009866	459	0 2 4 19 30 31 86 410 462 824 836 2471 2481 2483 2486 3884 3907 6635 6644 6743 6804 6805 6808 11880 11926 12435 12438 12439 13123 17720
GO:0035010	460	0 2 30
GO:0043299	461	0 2 4 17 30 130 399 1208 2439 2442 4838 6563 6568 10259
GO:0002218	462	0 2 19 31 410 2471 2481 2483 6635 6644 6743 6804 6805 6808 11880 11926 12435 12438 12439 13123 17720
GO:0002757	463	0 2 4 19 31 86 410 817 2471 2481 2483 2486 6635 6644 6743 11880
GO:0034101	464	0 2 19 32 412 2517 7122
GO:0002340	465	0 2 33
GO:0002343	466	0 2 33
GO:0002346	467	0 2 33
GO:0002352	468	0 2 33
GO:0002405	469	0 2 34
GO:0002406	470	0 2 34
GO:0002367	471	0 2 3 8 35 65 280 738 3613
GO:0002377	472	0 2 3 35 65 738 3613
GO:0002775	473	0 2 3 35 65 738 3613
GO:0035746	474	0 2 3 35 65 738 3613
GO:0035944	475	0 2 3 35 65 738 3613
GO:0036262	476	0 2 3 35 65 738 3613
GO:0071613	477	0 2 3 35 65 738 3613
GO:0002249	478	0 2 36
GO:0002461	479	0 2 16 36 38 487 2639
GO:0002508	480	0 2 36
GO:0002513	481	0 2 36
GO:0002514	482	0 2 36
GO:0002517	483	0 2 36
GO:0002519	484	0 2 36
GO:0010931	485	0 2 36
GO:0072573	486	0 2 19 36 410 2473 2482 2483 2486 6663 6665 6772 6774 6804 6805 6914 12114 12121 12740 12807 12812 18533
GO:0002250	487	0 2 16 38
GO:0002251	488	0 2 16 38
GO:0002387	489	0 2 16 38
GO:0002418	490	0 2 16 38 385 2326
GO:0002437	491	0 2 16 38 383 2291 6179
GO:0006959	492	0 2 16 38
GO:0042092	493	0 2 16 38
GO:0045087	494	0 2 13 16 38 373 383 384 385 2257 2291 2322
GO:1902615	495	0 2 16 38
GO:0002450	496	0 2 39
GO:0002457	497	0 2 39
GO:0002468	498	0 2 39
GO:0002471	499	0 2 39
GO:0002472	500	0 2 39
GO:0002473	501	0 2 39
GO:0002475	502	0 2 39
GO:0002504	503	0 2 39
GO:0002745	504	0 2 39
GO:0002746	505	0 2 39
GO:0002747	506	0 2 39
GO:0019883	507	0 2 39
GO:0019884	508	0 2 39
GO:0048002	509	0 2 39
GO:0031295	510	0 2 19 40 410 2471 2481 2486 6635 6637 6741 6916 6929 11872 11893 12384 12387 13333 17690 17744 19031 20096 23034 24336
GO:0031296	511	0 2 19 40 410 2471 2481 2486 6635 6637 6741 6929 11872 11893 12387 17690 17745 23035
GO:0035163	512	0 2 4 9 42 110 1086
GO:0035168	513	0 2 4 9 42 110 1086
GO:0042387	514	0 2 4 9 42 110 1086
GO:0042688	515	0 2 4 9 42 110 1086
GO:0043366	516	0 2 43
GO:0043368	517	0 2 43
GO:0043383	518	0 2 43
GO:0045061	519	0 2 43
GO:0045062	520	0 2 43
GO:0002269	521	0 2 4 44 74
GO:0002270	522	0 2 4 44 74
GO:0002274	523	0 2 4 44 74
GO:0002366	524	0 2 4 30 44 74 449
GO:0046649	525	0 2 4 44 74
GO:0050902	526	0 2 4 44 74
GO:0002523	527	0 2 4 45 111 1098
GO:0030595	528	0 2 4 11 45 111 363 1098 2211 4464
GO:0045123	529	0 2 4 45 111 1098
GO:0050904	530	0 2 4 45 111 1098
GO:0071674	531	0 2 4 45 111 1098
GO:0097529	532	0 2 4 45 111 1098
GO:0090714	533	0 2 13 16 38 46 373 383 384 385 494 2257 2291 2322
GO:0090715	534	0 2 46
GO:0090716	535	0 2 16 38 46 487
GO:0006116	536	0 3 47
GO:0006735	537	0 3 47
GO:0019661	538	0 3 4 47 49 58 59 60 65 567 574 662 663 696 702 750 2880 2932 3236 3253 3524 3661 7745 8221 8236 8667 8816 14375 14757 14764
GO:0061722	539	0 3 4 47 49 58 60 65 566 567 574 662 663 668 747 2849 2866 2946 3244 7597
GO:0006653	540	0 3 48 65
GO:0008291	541	0 3 4 19 48 58 65 412 675 744 2499
GO:0018887	542	0 3 4 48 58 60 65 662 666 668 748 3236 3295 8221 14757
GO:0018916	543	0 3 4 48 58 65 666 748 3295
GO:0018937	544	0 3 4 48 58 65 670
GO:0018952	545	0 3 4 48 58 65 668 669 732 3342
GO:0018954	546	0 3 4 48 58 65 670
GO:0018960	547	0 3 4 48 58 65 666 748 750 3291
GO:0019326	548	0 3 4 48 58 65 666 748 3295 8313
GO:0019329	549	0 3 48 60
GO:0019330	550	0 3 48 65
GO:0019666	551	0 3 4 48 58 663 3253 8236
GO:0034641	552	0 3 4 48 58
GO:0044597	553	0 3 4 48 53 58 60 65 612 666 676 747 748 3397 3649 8809 15498
GO:0044598	554	0 3 4 48 53 58 60 65 612 666 676 703 747 748 750 3397 3536 3538 3649 8809
GO:0071941	555	0 3 48
GO:0097164	556	0 3 48
GO:1901119	557	0 3 48 60 65 703 747 750 3534 3649 8809
GO:1901150	558	0 3 4 48 58 65 668 747 3649 8809
GO:1901564	559	0 3 48 65
GO:1901742	560	0 3 48 60 65 703 750 3534
GO:1902061	561	0 3 48 65
GO:2001057	562	0 3 48
GO:0019608	563	0 3 49 52
GO:0030574	564	0 3 49 55
GO:0042447	565	0 3 19 49 57 412 2506
GO:0044248	566	0 3 4 49 58
GO:0044282	567	0 3 49 60
GO:0051190	568	0 3 49 62
GO:0090487	569	0 3 49 53
GO:0120248	570	0 3 49 65 740
GO:0120256	571	0 3 49 65 742
GO:1901276	572	0 3 49 67
GO:1901287	573	0 3 49 68
GO:1901575	574	0 3 49 65
GO:1901765	575	0 3 49 69
GO:1901903	576	0 3 49 70
GO:0002927	577	0 3 4 48 50 58 59 65 552 666 685 698 738 748 3491 3614 8523 8777 15023 15026 15465 21574 21579 25772
GO:0008612	578	0 3 48 50 59 65 559 701 738 3516 3520 3614 8625 15292
GO:0032964	579	0 3 50 55
GO:0042179	580	0 3 50 52
GO:0042446	581	0 3 19 50 57 412 2506
GO:0044249	582	0 3 4 50 58
GO:0044283	583	0 3 50 60
GO:0044550	584	0 3 50 53
GO:0051191	585	0 3 50 62
GO:0051559	586	0 3 50 56 649 654
GO:0120247	587	0 3 50 65 740
GO:0120255	588	0 3 50 65 742
GO:1901277	589	0 3 50 67
GO:1901288	590	0 3 50 68
GO:1901576	591	0 3 50 65
GO:1901766	592	0 3 50 69
GO:1901904	593	0 3 50 70
GO:1902422	594	0 3 50 71
GO:1903409	595	0 3 4 50 58 689
GO:0017000	596	0 3 4 50 51 58 582
GO:0017001	597	0 3 4 49 51 58 566
GO:0030650	598	0 3 4 48 51 58 65 552 559 2754 2778
GO:0030653	599	0 3 4 48 51 58 60 65 552 559 685 715 748 2754 2755 2784
GO:0033067	600	0 3 4 51 53 58 65 612 685 748 3468
GO:0033069	601	0 3 4 48 51 53 58 65 552 559 612 685 748 2754
GO:0043637	602	0 3 4 48 51 58 59 60 65 552 559 666 685 698 713 747 748 2760 2783 3649 7443 7490 14145
GO:0043641	603	0 3 4 48 51 53 58 60 65 552 559 609 666 685 708 747 748 750 2754 3122 3291 3649 8809
GO:0043643	604	0 3 4 51 53 58 60 65 612 676 703 750 3538
GO:0046584	605	0 3 4 48 51 58 65 552 559 685 748 2754 2778 3468 7476
GO:0006582	606	0 3 4 53 56 58 65 666 748 750 3291
GO:0009237	607	0 3 53
GO:0009404	608	0 3 4 53 58
GO:0009698	609	0 3 4 53 58 65 666 748
GO:0018940	610	0 3 4 53 58 65 666 748 750 3291 3295 8313
GO:0019757	611	0 3 4 53 58 60 65 662 668 3236
GO:0030638	612	0 3 53 65
GO:0035836	613	0 3 48 53 65 559 2785 7499 14209
GO:0036182	614	0 3 4 53 58 60 65 666 676 748 750 3291 3397
GO:0042316	615	0 3 4 48 51 53 58 60 65 552 559 599 662 668 685 715 748 2754 2755 2784 3236 8221 14757
GO:0042341	616	0 3 48 53 65 559 747 2812 3649 8809
GO:0042810	617	0 3 4 19 53 57 58 412 2506
GO:0046158	618	0 3 53 56 648
GO:0046937	619	0 3 4 48 53 58 65 552 559 2754 2778
GO:1900539	620	0 3 4 53 58 60 65 662
GO:1900549	621	0 3 48 53 65 559
GO:1900555	622	0 3 4 48 53 58 59 65 552 559 685 700 748 2754 2778 3468 7476
GO:1900561	623	0 3 53 65
GO:1900570	624	0 3 4 53 58 60 65 666 708 748 750 3291
GO:1900573	625	0 3 4 53 58 60 65 666 676 748 750 3291 3397
GO:1900576	626	0 3 4 53 58 60 65 662 666 708 748 750 3291 3295 8287
GO:1900579	627	0 3 4 53 58 59 60 65 682 700 703 748 750 3434 3504 3539 3651 8414 14887
GO:1900582	628	0 3 4 53 58 60 65 662 666 748 750 3236 3291 3295 8221 14757
GO:1900585	629	0 3 53 65
GO:1900588	630	0 3 4 53 58 60 65 666 708 748 750 3291 8287
GO:1900591	631	0 3 4 53 58 60 65 666 708 748 750 3291 8287
GO:1900594	632	0 3 4 53 58 65 666 685 748
GO:1900597	633	0 3 4 53 58 65 666 685 748
GO:1900600	634	0 3 4 53 58 60 65 662 666 676 748 750 3291 3397
GO:1900603	635	0 3 4 48 53 58 60 65 552 559 676 685 748 2754
GO:1900606	636	0 3 4 48 53 58 60 65 552 662 676 685 748 2754
GO:1900764	637	0 3 4 53 58 60 65 666 676 685 708 748 750 3291 3405
GO:1900791	638	0 3 4 53 58 60 65 666 676 685 748 750 3291
GO:1900797	639	0 3 4 53 58 60 65 666 708 748 750 3291 8287
GO:1900800	640	0 3 4 53 58 60 65 662 676 685 748 3468
GO:1900810	641	0 3 4 53 58 59 60 65 662 676 700 742 744 748 3236 3504 8221
GO:1900813	642	0 3 4 53 58 60 65 662 666 676 748 750 3291 3295
GO:1900816	643	0 3 4 48 53 58 59 60 65 552 559 662 665 685 700 748 2754 3236 3506 8221 14757
GO:1900819	644	0 3 4 53 58 65 666 685 748
